Site_id,Latitude,Longitude
AloeVera_2018,39.72164,3.17062
CanRefila_2018,39.67598,3.18368
CanVolaVola_2018,39.5469,2.79822
CarrerBetlem_2018,39.3941,2.84722
EsCabanells_2018,39.68937,3.23535
EsCapdella_2018,39.58026,2.46473
Esporles_2018,39.67318,2.57537
MontiSion_2018,39.4989,3.01911
Muro_2018,39.75011,3.05956
Puntiro_2018,39.59623,2.80156
SonSali_2018,39.43795,2.97731
SaRitxola_2018,39.65353,2.99953
SonForteza_2018,39.70467,3.31131
sHeretat_2018,39.68254,3.42145
SonBaco_2018,39.38035,3.04068
SonDoblons_2018,39.69548,3.19814
SonGinard_2018,39.41623,3.07946
SonGual_2018,39.56765,2.83245
SonMutNou_2018,39.46187,2.82565
UIB_2018,39.64296,2.64094
