Study_id,Network_id,Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comments,Flower_data_merger
1_Bartomeus,BAT1CA,NA,NA,NA,BAT1CA,NA,NA,NA,NA,BAT1CA
1_Bartomeus,BAT2CA,NA,NA,NA,BAT2CA,NA,NA,NA,NA,BAT2CA
1_Bartomeus,FRA1OP,NA,NA,NA,FRA1OP,NA,NA,NA,NA,FRA1OP
1_Bartomeus,FRA2OP,NA,NA,NA,FRA2OP,NA,NA,NA,NA,FRA2OP
1_Bartomeus,MED1CA,NA,NA,NA,MED1CA,NA,NA,NA,NA,MED1CA
1_Bartomeus,MED2CA,NA,NA,NA,MED2CA,NA,NA,NA,NA,MED2CA
1_Bartomeus,MED3CA,NA,NA,NA,MED3CA,NA,NA,NA,NA,MED3CA
1_Bartomeus,MED4CA,NA,NA,NA,MED4CA,NA,NA,NA,NA,MED4CA
1_Bartomeus,MIQ1OP,NA,NA,NA,MIQ1OP,NA,NA,NA,NA,MIQ1OP
1_Bartomeus,MIQ2OP,NA,NA,NA,MIQ2OP,NA,NA,NA,NA,MIQ2OP
1_Bartomeus,SEL1OP,NA,NA,NA,SEL1OP,NA,NA,NA,NA,SEL1OP
1_Bartomeus,SEL2OP,NA,NA,NA,SEL2OP,NA,NA,NA,NA,SEL2OP
2_Petanidou,Armolia,14,5,2015,Armolia,Anacamptis pyramidalis,1.12,Number of flowers/square meter,NA,AnacamptispyramidalisArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Anagallis arvensis,1.44,Number of flowers/square meter,NA,AnagallisarvensisArmolia20-04-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Anthemis chia,0.76,Number of flowers/square meter,NA,AnthemischiaArmolia20-04-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Bellevalia trifoliata,1.52,Number of flowers/square meter,NA,BellevaliatrifoliataArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Bituminaria bituminosa,9.2,Number of flowers/square meter,NA,BituminariabituminosaArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Blackstonia perfoliata,1.6,Number of flowers/square meter,NA,BlackstoniaperfoliataArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Centaurium tenuiflorum,1.2,Number of flowers/square meter,NA,CentauriumtenuiflorumArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Cistus creticus,0.4,Number of flowers/square meter,NA,CistuscreticusArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Cistus creticus,1.32,Number of flowers/square meter,NA,CistuscreticusArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Cistus parviflorus,12.04,Number of flowers/square meter,NA,CistusparviflorusArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Cistus parviflorus,0.12,Number of flowers/square meter,NA,CistusparviflorusArmolia14-05-2015
2_Petanidou,Armolia,20,4,2015,Armolia,Cistus salviifolius,1.52,Number of flowers/square meter,NA,CistussalviifoliusArmolia20-04-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Convolvulus elegantissimus,5.28,Number of flowers/square meter,NA,ConvolvuluselegantissimusArmolia14-05-2015
2_Petanidou,Armolia,14,5,2015,Armolia,Crepis commutata,9.12,Number of flowers/square meter,NA,CrepiscommutataArmolia14-05-2015
