"","Species","Trophic_level"
"1","Urospermum picroides","Plant"
"2","Sonchus tenerrimus","Plant"
"3","Lavandula stoechas","Plant"
"4","Sonchus bulbosus","Plant"
"5","Euphorbia segetalis","Plant"
"6","Convolvulus althaeoides","Plant"
"7","Lobularia maritima","Plant"
"8","Lathyrus clymenum","Plant"
"9","Thymelaea hirsuta","Plant"
"10","Carpobrotus acinaciformis","Plant"
"11","Daucus carota","Plant"
"12","Echium sabulicola","Plant"
"13","Eryngium campestre","Plant"
"14","Petrosedum sediforme","Plant"
"15","Allium ampeloprasum","Plant"
"16","Opuntia stricta","Plant"
"17","Cistus albidus","Plant"
"18","Salvia rosmarinus","Plant"
"19","Cistus salviifolius","Plant"
"20","Cistus monspeliensis","Plant"
"21","Vicia lutea","Plant"
"22","Lotus dorycnium","Plant"
"23","Helichrysum stoechas","Plant"
"24","Tuberaria guttata","Plant"
"25","Galactites tomentosus","Plant"
"26","Bituminaria bituminosa","Plant"
"27","Lomelosia stellata","Plant"
"28","Brassica fruticulosa","Plant"
"29","Ruta chalepensis","Plant"
"30","Dianthus caryophyllus","Plant"
"31","Hypericum perfoliatum","Plant"
"32","Cistus parviflorus","Plant"
"33","Teucrium capitatum","Plant"
"34","Ononis pubescens","Plant"
"35","Satureja thymbra","Plant"
"36","Genista acanthoclada","Plant"
"37","Stachys cretica","Plant"
"38","Hypericum empetrifolium","Plant"
"39","Salvia fruticosa","Plant"
"40","Sonchus asper","Plant"
"41","Leontodon tuberosus","Plant"
"42","Hypochaeris achyrophorus","Plant"
"43","Salvia viridis","Plant"
"44","Crepis commutata","Plant"
"45","Verbascum sinuatum","Plant"
"46","Cistus creticus","Plant"
"47","Crepis multiflora","Plant"
"48","Pseudopodospermum elatum","Plant"
"49","Thymbra capitata","Plant"
"50","Campanula lyrata","Plant"
"51","Prasium majus","Plant"
"52","Pimpinella cretica","Plant"
"53","Anthemis chia","Plant"
"54","Vicia hybrida","Plant"
"55","Glaucium flavum","Plant"
"56","Allium sipyleum","Plant"
"57","Picris rhagadioloides","Plant"
"58","Origanum onites","Plant"
"59","Papaver rhoeas","Plant"
"60","Pallenis spinosa","Plant"
"61","Scandix pecten-veneris","Plant"
"62","Brassica arvensis","Plant"
"63","Cardopatium corymbosum","Plant"
"64","Glebionis coronaria","Plant"
"65","Fumana thymifolia","Plant"
"66","Allium exile","Plant"
"67","Teucrium divaricatum","Plant"
"68","Teucrium brevifolium","Plant"
"69","Fumana arabica","Plant"
"70","Centaurium tenuiflorum","Plant"
"71","Pimpinella peregrina","Plant"
"72","Muscari comosum","Plant"
"73","Vicia peregrina","Plant"
"74","Crupina crupinastrum","Plant"
"75","Gladiolus italicus","Plant"
"76","Anchusa undulata","Plant"
"77","Trifolium angustifolium","Plant"
"78","Trifolium campestre","Plant"
"79","Sinapis alba","Plant"
"80","Legousia falcata","Plant"
"81","Trifolium clypeatum","Plant"
"82","Smyrnium perfoliatum","Plant"
"83","Anacamptis pyramidalis","Plant"
"84","Malva unguiculata","Plant"
"85","Thymbra spicata","Plant"
"86","Vicia cretica","Plant"
"87","Valerianella vesicaria","Plant"
"88","Anthyllis hermanniae","Plant"
"89","Geranium pyrenaicum","Plant"
"90","Filipendula ulmaria","Plant"
"91","Verbena officinalis","Plant"
"92","Ranunculus acris","Plant"
"93","Trifolium repens","Plant"
"94","Achillea millefolium","Plant"
"95","Arctium tomentosum","Plant"
"96","Tanacetum vulgare","Plant"
"97","Ballota nigra","Plant"
"98","Cirsium vulgare","Plant"
"99","Cirsium arvense","Plant"
"100","Trifolium pratense","Plant"
"101","Carduus crispus","Plant"
"102","Symphytum officinale","Plant"
"103","Ranunculus repens","Plant"
"104","Melilotus officinalis","Plant"
"105","Buddleja davidii","Plant"
"106","Lathyrus latifolius","Plant"
"107","Eupatorium cannabinum","Plant"
"108","Linaria vulgaris","Plant"
"109","Hypericum perforatum","Plant"
"110","Picris hieracioides","Plant"
"111","Sonchus oleraceus","Plant"
"112","Rosa canina","Plant"
"113","Alliaria petiolata","Plant"
"114","Geranium nodosum","Plant"
"115","Convolvulus arvensis","Plant"
"116","Vicia sepium","Plant"
"117","Mentha aquatica","Plant"
"118","Silene dioica","Plant"
"119","Heracleum sphondylium","Plant"
"120","Pentaglottis sempervirens","Plant"
"121","Carduus tenuiflorus","Plant"
"122","Stachys sylvatica","Plant"
"123","Lotus corniculatus","Plant"
"124","Anthriscus sylvestris","Plant"
"125","Lythrum salicaria","Plant"
"126","Pulicaria dysenterica","Plant"
"127","Epilobium hirsutum","Plant"
"128","Vicia sativa","Plant"
"129","Rubus fruticosus","Plant"
"130","Cytisus scoparius","Plant"
"131","Echium vulgare","Plant"
"132","Reseda luteola","Plant"
"133","Calluna vulgaris","Plant"
"134","Chamaemelum nobile","Plant"
"135","Brassica napus","Plant"
"136","Carduus nutans","Plant"
"137","Matricaria chamomilla","Plant"
"138","Senecio inaequidens","Plant"
"139","Dipsacus fullonum","Plant"
"140","Clematis vitalba","Plant"
"141","Origanum vulgare","Plant"
"142","Reseda lutea","Plant"
"143","Scrophularia nodosa","Plant"
"144","Carlina vulgaris","Plant"
"145","Centaurea jacea","Plant"
"146","Pilosella officinarum","Plant"
"147","Clinopodium vulgare","Plant"
"148","Glechoma hederacea","Plant"
"149","Cichorium intybus","Plant"
"150","Vicia cracca","Plant"
"151","Scrophularia auriculata","Plant"
"152","Malva alcea","Plant"
"153","Lotus pedunculatus","Plant"
"154","Leucanthemum vulgare","Plant"
"155","Stachys palustris","Plant"
"156","Crepis capillaris","Plant"
"157","Solidago canadensis","Plant"
"158","Geranium molle","Plant"
"159","Jacobaea vulgaris","Plant"
"160","Potentilla reptans","Plant"
"161","Erodium cicutarium","Plant"
"162","Arctium minus","Plant"
"163","Cornus sanguinea","Plant"
"164","Centaurea nigra","Plant"
"165","Centaurea cyanus","Plant"
"166","Campanula portenschlagiana","Plant"
"167","Hypochaeris radicata","Plant"
"168","Salix alba","Plant"
"169","Lamium purpureum","Plant"
"170","Knautia arvensis","Plant"
"171","Onobrychis viciifolia","Plant"
"172","Lathyrus sylvestris","Plant"
"173","Solanum tuberosum","Plant"
"174","Bryonia cretica","Plant"
"175","Apium graveolens","Plant"
"176","Coriandrum sativum","Plant"
"177","Thymus vulgaris","Plant"
"178","Melissa officinalis","Plant"
"179","Plantago lanceolata","Plant"
"180","Ligustrum vulgare","Plant"
"181","Calystegia sepium","Plant"
"182","Chaerophyllum temulum","Plant"
"183","Chamaenerion angustifolium","Plant"
"184","Malva sylvestris","Plant"
"185","Pentanema squarrosum","Plant"
"186","Lotus tenuis","Plant"
"187","Crepis biennis","Plant"
"188","Melilotus altissimus","Plant"
"189","Hedera helix","Plant"
"190","Symphoricarpos albus","Plant"
"191","Sorbaria sorbifolia","Plant"
"192","Spiraea douglasii","Plant"
"193","Urtica dioica","Plant"
"194","Geranium dissectum","Plant"
"195","Mentha suaveolens","Plant"
"196","Lapsana communis","Plant"
"197","Sonchus arvensis","Plant"
"198","Lonicera caprifolium","Plant"
"199","Hibiscus syriacus","Plant"
"200","Calendula officinalis","Plant"
"201","Cirsium oleraceum","Plant"
"202","Medicago lupulina","Plant"
"203","Angelica sylvestris","Plant"
"204","Berteroa incana","Plant"
"205","Silene vulgaris","Plant"
"206","Lamium album","Plant"
"207","Saponaria officinalis","Plant"
"208","Holcus lanatus","Plant"
"209","Heuchera sanguinea","Plant"
"210","Echinacea purpurea","Plant"
"211","Iberis sempervirens","Plant"
"212","Prunella vulgaris","Plant"
"213","Pilosella aurantiaca","Plant"
"214","Aquilegia vulgaris","Plant"
"215","Echinops ritro","Plant"
"216","Lysimachia clethroides","Plant"
"217","Pyracantha coccinea","Plant"
"218","Cornus alba","Plant"
"219","Bellis perennis","Plant"
"220","Medicago sativa","Plant"
"221","Torilis arvensis","Plant"
"222","Pulicaria vulgaris","Plant"
"223","Potentilla recta","Plant"
"224","Reseda alba","Plant"
"225","Reynoutria japonica","Plant"
"226","Pastinaca sativa","Plant"
"227","Polygonum aviculare","Plant"
"228","Teucrium scorodonia","Plant"
"229","Clinopodium nepeta","Plant"
"230","Crepis foetida","Plant"
"231","Erigeron annuus","Plant"
"232","Pilosella piloselloides","Plant"
"233","Melilotus albus","Plant"
"234","Mentha longifolia","Plant"
"235","Oenothera biennis","Plant"
"236","Petrorhagia saxifraga","Plant"
"237","Rorippa sylvestris","Plant"
"238","Scabiosa columbaria","Plant"
"239","Sedum acre","Plant"
"240","Verbascum phlomoides","Plant"
"241","Centaurea stoebe","Plant"
"242","Helianthemum nummularium","Plant"
"243","Taraxacum officinale","Plant"
"244","Verbascum nigrum","Plant"
"245","Geranium robertianum","Plant"
"246","Valeriana officinalis","Plant"
"247","Verbascum lychnitis","Plant"
"248","Arctium lappa","Plant"
"249","Centaurea nigrescens","Plant"
"250","Cerastium fontanum","Plant"
"251","Impatiens glandulifera","Plant"
"252","Lysimachia vulgaris","Plant"
"253","Stellaria aquatica","Plant"
"254","Pimpinella major","Plant"
"255","Anthyllis vulneraria","Plant"
"256","Buphthalmum salicifolium","Plant"
"257","Carduus defloratus","Plant"
"258","Dactylorhiza maculata","Plant"
"259","Euphrasia stricta","Plant"
"260","Galeopsis tetrahit","Plant"
"261","Galium lucidum","Plant"
"262","Hieracium bifidum","Plant"
"263","Plantago media","Plant"
"264","Solidago virgaurea","Plant"
"265","Campanula patula","Plant"
"266","Rorippa amphibia","Plant"
"267","Salvia pratensis","Plant"
"268","Cerastium arvense","Plant"
"269","Cerastium carinthiacum","Plant"
"270","Cirsium erisithales","Plant"
"271","Gypsophila repens","Plant"
"272","Oreomecon alpina","Plant"
"273","Saxifraga aizoides","Plant"
"274","Heliosperma pusillum","Plant"
"275","Campanula rotundifolia","Plant"
"276","Gymnadenia conopsea","Plant"
"277","Parnassia palustris","Plant"
"278","Rhinanthus glacialis","Plant"
"279","Barbarea vulgaris","Plant"
"280","Campanula persicifolia","Plant"
"281","Carduus personata","Plant"
"282","Impatiens parviflora","Plant"
"283","Knautia drymeia","Plant"
"284","Mentha arvensis","Plant"
"285","Rhinanthus freynii","Plant"
"286","Salvia glutinosa","Plant"
"287","Heliosperma alpestre","Plant"
"288","Stellaria graminea","Plant"
"289","Aegopodium podagraria","Plant"
"290","Aruncus dioicus","Plant"
"291","Astragalus glycyphyllos","Plant"
"292","Impatiens noli-tangere","Plant"
"293","Lactuca muralis","Plant"
"294","Pimpinella saxifraga","Plant"
"295","Pycnocomon intermedium","Plant"
"296","Cymbalaria muralis","Plant"
"297","Silene saxifraga","Plant"
"298","Coronilla varia","Plant"
"299","Helianthus tuberosus","Plant"
"300","Oxalis pes-caprae","Plant"
"301","Silene flos-cuculi","Plant"
"302","Epilobium ciliatum","Plant"
"303","Geranium sibiricum","Plant"
"304","Sanguisorba minor","Plant"
"305","Campanula glomerata","Plant"
"306","Campanula trachelium","Plant"
"307","Cirsium monspessulanum","Plant"
"308","Clinopodium grandiflorum","Plant"
"309","Filipendula vulgaris","Plant"
"310","Hypericum maculatum","Plant"
"311","Lamium galeobdolon","Plant"
"312","Lupinus polyphyllus","Plant"
"313","Myosotis ramosissima","Plant"
"314","Phyteuma betonicifolium","Plant"
"315","Polygala vulgaris","Plant"
"316","Senecio ovatus","Plant"
"317","Solanum dulcamara","Plant"
"318","Tragopogon pratensis","Plant"
"319","Veronica chamaedrys","Plant"
"320","Crepis paludosa","Plant"
"321","Galium verum","Plant"
"322","Geum rivale","Plant"
"323","Silene nutans","Plant"
"324","Geranium columbinum","Plant"
"325","Silene latifolia","Plant"
"326","Verbascum densiflorum","Plant"
"327","Potentilla argentea","Plant"
"328","Oxalis articulata","Plant"
"329","Veronica persica","Plant"
"330","Geranium phaeum","Plant"
"331","Knautia longifolia","Plant"
"332","Leontodon hispidus","Plant"
"333","Onobrychis montana","Plant"
"334","Phyteuma orbiculare","Plant"
"335","Trifolium montanum","Plant"
"336","Carum carvi","Plant"
"337","Crepis aurea","Plant"
"338","Geranium sylvaticum","Plant"
"339","Horminum pyrenaicum","Plant"
"340","Rhododendron hirsutum","Plant"
"341","Achillea clavennae","Plant"
"342","Campanula barbata","Plant"
"343","Bistorta vivipara","Plant"
"344","Scabiosa triandra","Plant"
"345","Trifolium medium","Plant"
"346","Hedysarum hedysaroides","Plant"
"347","Oxytropis montana","Plant"
"348","Ranunculus polyanthemos","Plant"
"349","Trifolium badium","Plant"
"350","Valeriana montana","Plant"
"351","Aconitum lycoctonum","Plant"
"352","Campanula scheuchzeri","Plant"
"353","Cirsium heterophyllum","Plant"
"354","Betonica alopecuros","Plant"
"355","Stachys alpina","Plant"
"356","Vicia villosa","Plant"
"357","Adenostyles alpina","Plant"
"358","Potentilla erecta","Plant"
"359","Prunella grandiflora","Plant"
"360","Aconitum napellus","Plant"
"361","Allium schoenoprasum","Plant"
"362","Arnica montana","Plant"
"363","Rhinanthus minor","Plant"
"364","Jacobaea alpina","Plant"
"365","Centaurea nervosa","Plant"
"366","Dianthus superbus","Plant"
"367","Hieracium valdepilosum","Plant"
"368","Hypochaeris maculata","Plant"
"369","Agrimonia eupatoria","Plant"
"370","Lathyrus pratensis","Plant"
"371","Saxifraga rotundifolia","Plant"
"372","Rhinanthus alectorolophus","Plant"
"373","Scabiosa lucida","Plant"
"374","Vicia sylvatica","Plant"
"375","Chaerophyllum hirsutum","Plant"
"376","Senecio rupestris","Plant"
"377","Aconitum degenii","Plant"
"378","Prenanthes purpurea","Plant"
"379","Ranunculus platanifolius","Plant"
"380","Galeopsis pubescens","Plant"
"381","Senecio nemorensis","Plant"
"382","Euphrasia officinalis","Plant"
"383","Gentianella rhaetica","Plant"
"384","Hieracium picroides","Plant"
"385","Linaria alpina","Plant"
"386","Epilobium montanum","Plant"
"387","Galeopsis speciosa","Plant"
"388","Gentiana cruciata","Plant"
"389","Teucrium chamaedrys","Plant"
"390","Melampyrum italicum","Plant"
"391","Campanula spicata","Plant"
"392","Erigeron canadensis","Plant"
"393","Stachys recta","Plant"
"394","Campanula rapunculus","Plant"
"395","Cruciata laevipes","Plant"
"396","Ornithogalum pyramidale","Plant"
"397","Sherardia arvensis","Plant"
"398","Genista tinctoria","Plant"
"399","Ligustrum lucidum","Plant"
"400","Bistorta officinalis","Plant"
"401","Cerastium holosteoides","Plant"
"402","Centaurea triumfettii","Plant"
"403","Doronicum austriacum","Plant"
"404","Diplotaxis tenuifolia","Plant"
"405","Betonica officinalis","Plant"
"406","Campanula carnica","Plant"
"407","Lamium orvala","Plant"
"408","Lilium martagon","Plant"
"409","Campanula rapunculoides","Plant"
"410","Pentanema salicinum","Plant"
"411","Tanacetum corymbosum","Plant"
"412","Epilobium dodonaei","Plant"
"413","Hieracium glaucum","Plant"
"414","Ononis spinosa","Plant"
"415","Prunella laciniata","Plant"
"416","Allium carinatum","Plant"
"417","Astrantia major","Plant"
"418","Centaurea scabiosa","Plant"
"419","Sedum album","Plant"
"420","Medicago falcata","Plant"
"421","Oxalis corniculata","Plant"
"422","Helianthus annuus","Plant"
"423","Stellaria media","Plant"
"424","Crepis setosa","Plant"
"425","Helminthotheca echioides","Plant"
"426","Lactuca serriola","Plant"
"427","Trifolium fragiferum","Plant"
"428","Phytolacca americana","Plant"
"429","Glycine max","Plant"
"430","Galium album","Plant"
"431","Galega officinalis","Plant"
"432","Portulaca oleracea","Plant"
"433","Persicaria maculosa","Plant"
"434","Oenanthe pimpinelloides","Plant"
"435","Phacelia tanacetifolia","Plant"
"436","Humulus lupulus","Plant"
"437","Abutilon theophrasti","Plant"
"438","Trachelospermum jasminoides","Plant"
"439","Galinsoga quadriradiata","Plant"
"440","Oxalis acetosella","Plant"
"441","Lavandula angustifolia","Plant"
"442","Ziziphus jujuba","Plant"
"443","Euphorbia helioscopia","Plant"
"444","Galium mollugo","Plant"
"445","Falcaria vulgaris","Plant"
"446","Capsella bursa-pastoris","Plant"
"447","Senecio vulgaris","Plant"
"448","Tripleurospermum inodorum","Plant"
"449","Tanacetum parthenium","Plant"
"450","Galeopsis ladanum","Plant"
"451","Lysimachia arvensis","Plant"
"452","Geranium pusillum","Plant"
"453","Centaurium erythraea","Plant"
"454","Mercurialis annua","Plant"
"455","Dianthus monspessulanus","Plant"
"456","Hypericum richeri","Plant"
"457","Siler montanum","Plant"
"458","Laserpitium gallicum","Plant"
"459","Leucanthemum adustum","Plant"
"460","Phyteuma scorzonerifolium","Plant"
"461","Serratula tinctoria","Plant"
"462","Eriobotrya japonica","Plant"
"463","Salvia elegans","Plant"
"464","Lycium schweinfurthii","Plant"
"465","Nicandra physalodes","Plant"
"466","Lantana camara","Plant"
"467","Senna corymbosa","Plant"
"468","Physalis peruviana","Plant"
"469","Canna indica","Plant"
"470","Eriolarynx australis","Plant"
"471","Thunbergia grandiflora","Plant"
"472","Echinocystis lobata","Plant"
"473","Plumbago auriculata","Plant"
"474","Jasminum mesnyi","Plant"
"475","Polygala fruticosa","Plant"
"476","Tropaeolum majus","Plant"
"477","Brugmansia arborea","Plant"
"478","Camellia sinensis","Plant"
"479","Erica erigena","Plant"
"480","Albuca bracteata","Plant"
"481","Iochroma fuchsioides","Plant"
"482","Fatsia japonica","Plant"
"483","Hydrangea macrophylla","Plant"
"484","Narcissus papyraceus","Plant"
"485","Tetrapanax papyrifer","Plant"
"486","Zantedeschia aethiopica","Plant"
"487","Dombeya × cayeuxii","Plant"
"488","Camellia japonica","Plant"
"489","Anagyris foetida","Plant"
"490","Viburnum suspensum","Plant"
"491","Mahonia japonica","Plant"
"492","Magnolia denudata","Plant"
"493","Vinca difformis","Plant"
"494","Abutilon indicum","Plant"
"495","Arbutus unedo","Plant"
"496","Euphorbia characias","Plant"
"497","Umbellularia californica","Plant"
"498","Erica tetralix","Plant"
"499","Lavandula multifida","Plant"
"500","Magnolia stellata","Plant"
"501","Erica arborea","Plant"
"502","Verbascum levanticum","Plant"
"503","Salvia officinalis","Plant"
"504","Pyrus communis","Plant"
"505","Echium candicans","Plant"
"506","Prunus spinosa","Plant"
"507","Citrus trifoliata","Plant"
"508","Sambucus nigra","Plant"
"509","Borago officinalis","Plant"
"510","Helleborus foetidus","Plant"
"511","Cydonia oblonga","Plant"
"512","Prunus laurocerasus","Plant"
"513","Persea americana","Plant"
"514","Wisteria floribunda","Plant"
"515","Prunus domestica","Plant"
"516","Aesculus × carnea","Plant"
"517","Prunus avium","Plant"
"518","Aesculus hippocastanum","Plant"
"519","Physocarpus opulifolius","Plant"
"520","Liriodendron tulipifera","Plant"
"521","Crataegus monogyna","Plant"
"522","Deutzia scabra","Plant"
"523","Crataegus azarolus","Plant"
"524","Spiraea japonica","Plant"
"525","Spiraea blumei","Plant"
"526","Philadelphus incanus","Plant"
"527","Callistemon citrinus","Plant"
"528","Sida rhombifolia","Plant"
"529","Philadelphus coronarius","Plant"
"530","Vicia faba","Plant"
"531","Brassica juncea","Plant"
"532","Fragaria moschata","Plant"
"533","Lathyrus oleraceus","Plant"
"534","Polygonatum multiflorum","Plant"
"535","Ajuga reptans","Plant"
"536","Rabelera holostea","Plant"
"537","Lonicera xylosteum","Plant"
"538","Trifolium arvense","Plant"
"539","Euphorbia flavicoma","Plant"
"540","Allium ursinum","Plant"
"541","Geranium rotundifolium","Plant"
"542","Trifolium resupinatum","Plant"
"543","Trifolium incarnatum","Plant"
"544","Cirsium palustre","Plant"
"545","Cerastium glomeratum","Plant"
"546","Epilobium tetragonum","Plant"
"547","Trifolium hybridum","Plant"
"548","Lamium maculatum","Plant"
"549","Viola arvensis","Plant"
"550","Crepis pulchra","Plant"
"551","Galium aparine","Plant"
"552","Trifolium dubium","Plant"
"553","Iris pseudacorus","Plant"
"554","Salix viminalis","Plant"
"555","Photinia serratifolia","Plant"
"556","Eschscholzia californica","Plant"
"557","Chelidonium majus","Plant"
"558","Ranunculus auricomus","Plant"
"559","Malus domestica","Plant"
"560","Wisteria sinensis","Plant"
"561","Viburnum lantana","Plant"
"562","Aurinia saxatilis","Plant"
"563","Rubus idaeus","Plant"
"564","Veronica arvensis","Plant"
"565","Aubrieta deltoidea","Plant"
"566","Linum usitatissimum","Plant"
"567","Hippocrepis emerus","Plant"
"568","Medicago arabica","Plant"
"569","Nigella damascena","Plant"
"570","Foeniculum vulgare","Plant"
"571","Anthemis arvensis","Plant"
"572","Abelia chinensis","Plant"
"573","Ribes nigrum","Plant"
"574","Muscari botryoides","Plant"
"575","Centaurea montana","Plant"
"576","Galium saxatile","Plant"
"577","Ranunculus bulbosus","Plant"
"578","Rumex acetosa","Plant"
"579","Saxifraga granulata","Plant"
"580","Cardamine pratensis","Plant"
"581","Scorzoneroides autumnalis","Plant"
"582","Alchemilla vulgaris","Plant"
"583","Cirsium acaule","Plant"
"584","Viscaria vulgaris","Plant"
"585","Rumex acetosella","Plant"
"586","Dianthus deltoides","Plant"
"587","Achillea ptarmica","Plant"
"588","Peucedanum oreoselinum","Plant"
"589","Armeria maritima","Plant"
"590","Jasione montana","Plant"
"591","Lathyrus linifolius","Plant"
"592","Fragaria vesca","Plant"
"593","Symphytum × uplandicum","Plant"
"594","Rosa dumalis","Plant"
"595","Hieracium umbellatum","Plant"
"596","Primula veris","Plant"
"597","Myosotis arvensis","Plant"
"598","Hieracium lachenalii","Plant"
"599","Anemonoides nemorosa","Plant"
"600","Juniperus communis","Plant"
"601","Veronica spicata","Plant"
"602","Convallaria majalis","Plant"
"603","Ajuga pyramidalis","Plant"
"604","Ranunculus ficaria","Plant"
"605","Ribes uva-crispa","Plant"
"606","Prunus spicata","Plant"
"607","Melampyrum pratense","Plant"
"608","Thymus serpyllum","Plant"
"609","Veronica officinalis","Plant"
"610","Sorbus aucuparia","Plant"
"611","Viola riviniana","Plant"
"612","Vincetoxicum hirundinaria","Plant"
"613","Geranium pratense","Plant"
"614","Rhinanthus major","Plant"
"615","Anchusa officinalis","Plant"
"616","Raphanus raphanistrum","Plant"
"617","Bunias orientalis","Plant"
"618","Melampyrum nemorosum","Plant"
"619","Verbascum thapsus","Plant"
"620","Galega orientalis","Plant"
"621","Anchusa arvensis","Plant"
"622","Delphinium consolida","Plant"
"623","Buglossoides arvensis","Plant"
"624","Geranium sanguineum","Plant"
"625","Campanula medium","Plant"
"626","Fumaria officinalis","Plant"
"627","Dactylis glomerata","Plant"
"628","Cota tinctoria","Plant"
"629","Hylotelephium maximum","Plant"
"630","Papaver dubium","Plant"
"631","Medicago × varia","Plant"
"632","Symphytum asperum","Plant"
"633","Campanula latifolia","Plant"
"634","Prunus padus","Plant"
"635","Brassica rapa","Plant"
"636","Fagopyrum esculentum","Plant"
"637","Galeopsis bifida","Plant"
"638","Crepis tectorum","Plant"
"639","Odontites vulgaris","Plant"
